Player,pct_2P_2013,pct_0-3_2013,pct_3-10_2013,pct_10-16_2013,pct_16-3P_2013,pct_3P_2013,att_2P_2013,att_0-3_2013,att_3-10_2013,att_10-16_2013,att_16-3P_2013,att_3P_2013
Damion James,,,,,,,,,,,,
LeBron James,.812,.373,.133,.105,.202,.188,.602,.776,.494,.415,.447,.406
Mike James,.539,.144,.210,.044,.140,.461,.363,.513,.351,.167,.289,.384
Antawn Jamison,.595,.308,.193,.031,.063,.405,.535,.655,.405,.278,.472,.361
Al Jefferson,.986,.241,.291,.169,.285,.014,.500,.718,.464,.416,.401,.118
Richard Jefferson,.669,.279,.184,.081,.125,.331,.527,.737,.320,.455,.412,.311
Jared Jeffries,.963,.500,.111,.019,.333,.037,.308,.444,.167,.000,.167,.000
Charles Jenkins,.983,.140,.140,.074,.628,.017,.403,.706,.059,.222,.434,.500
Charles Jenkins,.976,.108,.133,.060,.675,.024,.420,.667,.091,.200,.464,.500
Charles Jenkins,1.000,.211,.158,.105,.526,.000,.368,.750,.000,.250,.350,
John Jenkins,.531,.163,.071,.065,.231,.469,.500,.667,.381,.474,.426,.384
Player,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P
Brandon Jennings,.630,.228,.121,.123,.158,.370,.412,.496,.285,.416,.386,.375
Jonas Jerebko,.737,.443,.155,.035,.104,.263,.502,.593,.327,.273,.455,.301
Amir Johnson,.979,.464,.244,.056,.215,.021,.558,.687,.541,.324,.362,.385
Chris Johnson,1.000,.533,.120,.160,.187,.000,.640,.850,.333,.417,.429,
Chris Johnson,.280,.160,.120,.000,.000,.720,.714,1.000,.333,,,.333
Ivan Johnson,.963,.494,.171,.031,.267,.037,.536,.670,.426,.182,.400,.077
James Johnson,.926,.389,.226,.053,.258,.074,.439,.582,.406,.200,.301,.095
Joe Johnson,.625,.077,.206,.144,.197,.375,.452,.494,.488,.421,.420,.375
Orlando Johnson,.478,.228,.061,.061,.128,.522,.419,.585,.364,.091,.304,.383
Wesley Johnson,.609,.101,.068,.106,.333,.391,.461,.675,.370,.405,.432,.323
Darius Johnson-Odom,.750,.250,.000,.500,.000,.250,.000,.000,,.000,,.000
Dahntay Jones,.779,.279,.189,.108,.203,.221,.410,.581,.452,.208,.244,.224
Dahntay Jones,.736,.250,.221,.114,.150,.264,.408,.514,.516,.250,.190,.216
Dahntay Jones,.854,.329,.134,.098,.293,.146,.414,.667,.273,.125,.292,.250
DeQuan Jones,.839,.390,.183,.069,.197,.161,.470,.635,.225,.200,.465,.257
